Future	
2026.083324	106.6413347
2026.166657	106.9093148
2026.249991	107.177295
2026.333324	107.4452751
2026.416657	107.7132552
2026.499991	107.9812353
2026.583324	108.2492155
2026.666657	108.5171956
2026.749991	108.7851757
2026.833324	109.0531558
2026.916657	109.321136
2026.999991	109.5891161
2027.083324	109.8570962
2027.166657	110.1250763
2027.249991	110.3930565
2027.333324	110.6610366
2027.416657	110.9290167
2027.49999	111.1969968
2027.583324	111.464977
2027.666657	111.7329571
2027.74999	112.0009372
2027.833324	112.2689174
2027.916657	112.5368975
2027.99999	112.8048776
2028.083324	113.0728577
2028.166657	113.3408379
2028.24999	113.608818
2028.333324	113.8767981
2028.416657	114.1447782
2028.49999	114.4127584
2028.583324	114.6807385
2028.666657	114.9487186
2028.74999	115.2166987
2028.833324	115.4846789
2028.916657	115.752659
2028.99999	116.0206391
2029.083324	116.2886192
2029.166657	116.5565994
2029.24999	116.8245795
2029.333324	117.0925596
2029.416657	117.3605398
2029.49999	117.6285199
2029.583324	117.8965
2029.666657	118.1644801
2029.74999	118.4324603
2029.833324	118.7004404
2029.916657	118.9684205
2029.99999	119.2364006
2030.083324	119.5043808
2030.166657	119.7723609
2030.24999	120.040341
2030.333324	120.3083211
2030.416657	120.5763013
2030.49999	120.8442814
2030.583324	121.1122615
2030.666657	121.3802416
2030.74999	121.6482218
2030.833324	121.9162019
2030.916657	122.184182
2030.99999	122.4521622
2031.083324	122.7201423
2031.166657	122.9881224
2031.24999	123.2561025
2031.333324	123.5240827
2031.416657	123.7920628
2031.49999	124.0600429
2031.583324	124.328023
2031.666657	124.5960032
2031.74999	124.8639833
2031.833324	125.1319634
2031.916657	125.3999435
2031.99999	125.6679237
2032.083324	125.9359038
2032.166657	126.2038839
2032.24999	126.471864
2032.333324	126.7398442
2032.416657	127.0078243
2032.49999	127.2758044
2032.583324	127.5437846
2032.666657	127.8117647
2032.74999	128.0797448
2032.833324	128.3477249
2032.916657	128.6157051
2032.99999	128.8836852
2033.083324	129.1516653
2033.166657	129.4196454
2033.24999	129.6876256
2033.333324	129.9556057
2033.416657	130.2235858
2033.49999	130.4915659
2033.583323	130.7595461
2033.666657	131.0275262
2033.74999	131.2955063
2033.833323	131.5634864
2033.916657	131.8314666
2033.99999	132.0994467
2034.083323	132.3674268
2034.166657	132.635407
2034.24999	132.9033871
2034.333323	133.1713672
2034.416657	133.4393473
2034.49999	133.7073275
2034.583323	133.9753076
2034.666657	134.2432877
2034.74999	134.5112678
2034.833323	134.779248
2034.916657	135.0472281
2034.99999	135.3152082
2035.083323	135.5831883
2035.166657	135.8511685
2035.24999	136.1191486
2035.333323	136.3871287
2035.416657	136.6551088
2035.49999	136.923089
2035.583323	137.1910691
2035.666657	137.4590492
2035.74999	137.7270293
2035.833323	137.9950095
2035.916657	138.2629896
2035.99999	138.5309697
2036.083323	138.7989499
2036.166657	139.06693
2036.24999	139.3349101
2036.333323	139.6028902
2036.416657	139.8708704
2036.49999	140.1388505
2036.583323	140.4068306
2036.666657	140.6748107
2036.74999	140.9427909
2036.833323	141.210771
2036.916657	141.4787511
2036.99999	141.7467312
2037.083323	142.0147114
2037.166657	142.2826915
2037.24999	142.5506716
2037.333323	142.8186517
2037.416657	143.0866319
